id,segment_key,segment_type,user_key,question_key,value
302269,2018_be_municipal_be_9550,candidate,be_politician_9242,question_105,fully_agree
302253,2018_be_municipal_be_9550,candidate,be_politician_9242,question_21,disagree
302270,2018_be_municipal_be_9550,candidate,be_politician_9242,question_107,fully_agree
302254,2018_be_municipal_be_9550,candidate,be_politician_9242,question_22,disagree
302255,2018_be_municipal_be_9550,candidate,be_politician_9242,question_23,no_opinion
302271,2018_be_municipal_be_9550,candidate,be_politician_9242,question_108,disagree
302256,2018_be_municipal_be_9550,candidate,be_politician_9242,question_31,agree
302272,2018_be_municipal_be_9550,candidate,be_politician_9242,question_109,disagree
302257,2018_be_municipal_be_9550,candidate,be_politician_9242,question_38,no_opinion
302273,2018_be_municipal_be_9550,candidate,be_politician_9242,question_110,disagree
302258,2018_be_municipal_be_9550,candidate,be_politician_9242,question_46,fully_agree
302274,2018_be_municipal_be_9550,candidate,be_politician_9242,question_111,disagree
302259,2018_be_municipal_be_9550,candidate,be_politician_9242,question_49,fully_agree
302275,2018_be_municipal_be_9550,candidate,be_politician_9242,question_112,fully_agree
302260,2018_be_municipal_be_9550,candidate,be_politician_9242,question_58,fully_agree
302276,2018_be_municipal_be_9550,candidate,be_politician_9242,question_113,disagree
302261,2018_be_municipal_be_9550,candidate,be_politician_9242,question_88,no_opinion
302277,2018_be_municipal_be_9550,candidate,be_politician_9242,question_114,no_opinion
302262,2018_be_municipal_be_9550,candidate,be_politician_9242,question_89,no_opinion
302278,2018_be_municipal_be_9550,candidate,be_politician_9242,question_118,no_opinion
302263,2018_be_municipal_be_9550,candidate,be_politician_9242,question_90,no_opinion
302279,2018_be_municipal_be_9550,candidate,be_politician_9242,question_119,disagree
302264,2018_be_municipal_be_9550,candidate,be_politician_9242,question_93,no_opinion
302280,2018_be_municipal_be_9550,candidate,be_politician_9242,question_120,no_opinion
302265,2018_be_municipal_be_9550,candidate,be_politician_9242,question_98,no_opinion
302281,2018_be_municipal_be_9550,candidate,be_politician_9242,question_121,disagree
302266,2018_be_municipal_be_9550,candidate,be_politician_9242,question_99,disagree
302282,2018_be_municipal_be_9550,candidate,be_politician_9242,question_123,fully_agree
302250,2018_be_municipal_be_2570,candidate,be_politician_8970,question_4,fully_agree
302267,2018_be_municipal_be_9550,candidate,be_politician_9242,question_100,fully_agree
302283,2018_be_municipal_be_9550,candidate,be_politician_9242,question_125,no_opinion
302251,2018_be_municipal_be_9550,candidate,be_politician_9242,question_4,no_opinion
302268,2018_be_municipal_be_9550,candidate,be_politician_9242,question_102,no_opinion
302284,2018_be_municipal_be_9550,candidate,be_politician_9242,question_127,fully_agree
302252,2018_be_municipal_be_9550,candidate,be_politician_9242,question_20,disagree
302220,2018_be_municipal_be_3630,candidate,be_politician_8942,question_31,no_opinion
302236,2018_be_municipal_be_3630,candidate,be_politician_8942,question_107,fully_agree
302221,2018_be_municipal_be_3630,candidate,be_politician_8942,question_38,no_opinion
302237,2018_be_municipal_be_3630,candidate,be_politician_8942,question_110,no_opinion
302222,2018_be_municipal_be_3630,candidate,be_politician_8942,question_49,disagree
302238,2018_be_municipal_be_3630,candidate,be_politician_8942,question_111,agree
302223,2018_be_municipal_be_3630,candidate,be_politician_8942,question_46,disagree
302239,2018_be_municipal_be_3630,candidate,be_politician_8942,question_112,agree
302224,2018_be_municipal_be_3630,candidate,be_politician_8942,question_58,disagree
302240,2018_be_municipal_be_3630,candidate,be_politician_8942,question_113,disagree
302225,2018_be_municipal_be_3630,candidate,be_politician_8942,question_88,no_opinion
302241,2018_be_municipal_be_3630,candidate,be_politician_8942,question_114,no_opinion
302210,2018_be_municipal_be_2627,candidate,be_politician_8940,question_4,no_opinion
302226,2018_be_municipal_be_3630,candidate,be_politician_8942,question_89,no_opinion
302242,2018_be_municipal_be_3630,candidate,be_politician_8942,question_127,disagree
302211,2018_be_municipal_be_2627,candidate,be_politician_8940,question_20,disagree
302227,2018_be_municipal_be_3630,candidate,be_politician_8942,question_90,disagree
302243,2018_be_municipal_be_3630,candidate,be_politician_8942,question_125,no_opinion
302212,2018_be_municipal_be_2627,candidate,be_politician_8940,question_21,disagree
302228,2018_be_municipal_be_3630,candidate,be_politician_8942,question_93,disagree
302244,2018_be_municipal_be_3630,candidate,be_politician_8942,question_123,no_opinion
302213,2018_be_municipal_be_2627,candidate,be_politician_8940,question_22,disagree
302229,2018_be_municipal_be_3630,candidate,be_politician_8942,question_98,no_opinion
302245,2018_be_municipal_be_3630,candidate,be_politician_8942,question_121,disagree
302214,2018_be_municipal_be_2627,candidate,be_politician_8940,question_23,agree
302230,2018_be_municipal_be_3630,candidate,be_politician_8942,question_99,disagree
302246,2018_be_municipal_be_3630,candidate,be_politician_8942,question_120,agree
302215,2018_be_municipal_be_3630,candidate,be_politician_8942,question_20,no_opinion
302231,2018_be_municipal_be_3630,candidate,be_politician_8942,question_100,disagree
302247,2018_be_municipal_be_3630,candidate,be_politician_8942,question_119,no_opinion
302216,2018_be_municipal_be_3630,candidate,be_politician_8942,question_4,fully_agree
302232,2018_be_municipal_be_3630,candidate,be_politician_8942,question_102,no_opinion
302248,2018_be_municipal_be_3630,candidate,be_politician_8942,question_118,no_opinion
302217,2018_be_municipal_be_3630,candidate,be_politician_8942,question_21,fully_agree
302233,2018_be_municipal_be_3630,candidate,be_politician_8942,question_105,no_opinion
302218,2018_be_municipal_be_3630,candidate,be_politician_8942,question_22,disagree
302234,2018_be_municipal_be_3630,candidate,be_politician_8942,question_108,disagree
302219,2018_be_municipal_be_3630,candidate,be_politician_8942,question_23,no_opinion
302235,2018_be_municipal_be_3630,candidate,be_politician_8942,question_109,no_opinion
